gender,employment,age,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,好き嫌い,心地よい不快,感じの良い悪い,なめらかしどろもどろ,流暢たどたどしい,話慣れた慣れていない,声大きい小さい,元気のあるない,力強い弱々しい,速い遅い,せわしげな呑気な,スピード感あるゆったりした,礼儀正しい無礼,真面目不真面目,丁寧ぞんざい
Male,Student,20-29,21.360092,0.22583991,17.539694,21.434479,24.763748,7.2240543,271.85513,347.20764,148.77843,214.77437,0.26765114,1.1953675,0.07062409,0.08521083,0.4677313,0.3971072,9.273547,11.271155,6.929491,6.779291,0.17070618,2.219857,9.943312,1.4896393,11.715243,0.7435714,15.881696,0.5775725,9.149955,1.238042,0.059132177,1.740428,1.6317948,0.82617146,0.47938788,11.657024,7.9721785,2.6073246,23.775692,0.6038654,547.6303,0.44389224,1238.0577,0.200793,-148.0143,-0.55056214,1589.5333,0.19032297,945.6939,0.36361364,-150.61835,-0.50657606,2579.8943,0.12773521,820.24585,0.3990637,-151.22502,-0.49768525,-17.553604,-0.40431514,25.24204,0.32195598,-0.020636931,-1.8324697,-0.020187225,-0.7183404,0.39112318,1.5048777,27.499502,0.4366307,11.372575,1.0393741,21.821272,0.55490464,4.0334983,3.7727053,-10.925407,20.504997,-0.051249497,0.0023986846,0.081129886,0.8586417,1.7534171,0.15464567,0.15881452,0.42699656,0.8515626,-34.61384,1,1,0,1,1,1,1,0,1,0,0,0,0,1,1
Male,Student,20-29,21.135576,0.30150354,14.794037,21.239384,26.274405,11.480368,291.5485,468.54715,180.73526,297.81787,0.38055512,1.3126277,0.0867927,0.15109152,0.6211636,0.5343709,10.27995,12.0411415,7.463916,9.353031,0.43207762,2.1072075,11.437675,1.3150048,14.074237,0.7078048,18.06034,0.5999799,8.635149,1.7032021,0.083549626,1.578583,1.8756627,0.7489673,-0.9753681,-6.429571,8.043273,4.081965,23.87437,1.0128645,600.8275,0.43872085,1217.2012,0.21023601,-142.09451,-0.57319385,1674.9761,0.1913135,971.174,0.3840677,-145.50757,-0.5185258,2732.626,0.13083448,757.9425,0.49468592,-146.28928,-0.5074102,-21.9125,-0.38633308,29.852674,0.3365516,-0.052073542,-0.8173959,-0.021601984,-0.83588475,0.85789496,1.3967781,26.636486,0.46792608,18.252865,0.5930052,24.19456,0.50912696,1.5600425,12.356417,-15.426482,25.315104,-0.0753978,0.002190682,0.22134,0.46383217,2.3829906,0.12942062,0.13008733,0.30757293,0.5388708,-27.592922,1,1,0,0,0,1,1,0,1,0,0,0,0,0,1
Male,Student,20-29,20.693954,0.1789475,18.15732,20.639948,23.420815,5.2634945,269.45734,399.8948,137.19038,233.87819,0.30606782,1.0679762,0.07188179,0.13192095,0.5456567,0.47377488,8.31832,7.48368,6.5109863,5.731578,0.18656446,1.8598253,12.52421,1.2320167,11.560094,0.8317014,17.671417,0.59486043,7.3916225,1.7549734,0.045836937,1.8919599,1.509797,0.8427929,0.8051583,6.378684,7.5947967,2.4688537,23.67284,0.60494655,538.2416,0.42972755,1230.6448,0.2008614,-133.28137,-0.65573776,1591.6469,0.19342013,917.49817,0.37982085,-137.06866,-0.5957882,2579.1284,0.123151585,818.68225,0.4217239,-137.8327,-0.5847285,-17.198149,-0.39644843,24.337515,0.31552568,-0.020168541,-1.7701983,-0.021973576,-0.66247666,0.34114537,1.2435284,28.35739,0.39096552,9.986165,1.2275326,23.44126,0.5539358,1.4943577,10.622125,-12.15812,21.757427,-0.054437794,0.00081944244,0.097738266,1.5872579,1.9816444,0.17314325,0.16474493,0.32957163,0.62918323,-34.524338,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0
Male,Student,20-29,20.43809,0.2853587,14.716515,19.834532,25.457476,10.740961,258.25632,380.728,169.89912,313.47797,0.3235036,1.6115478,0.08533114,0.108860515,0.45246458,0.36713344,15.946492,23.787426,8.577768,12.383698,0.40010613,2.5439534,10.355208,1.3239328,14.049705,0.65938115,16.933577,0.5738075,10.602777,1.2014332,0.08675955,1.5670912,2.092897,0.7250304,-1.7001221,-3.5231705,8.738272,3.6745946,24.384644,0.97550726,620.8784,0.4415288,1225.2844,0.20213246,-152.11754,-0.5075408,1691.2614,0.19987302,961.50226,0.38780054,-154.78644,-0.4645588,2763.0144,0.13180405,752.9159,0.49344048,-155.54546,-0.45388252,-22.42692,-0.36888897,30.595676,0.31984615,-0.058062967,-0.6911619,-0.020720996,-0.89185864,0.94716704,1.5571635,26.585169,0.47138625,18.612337,0.57756376,23.036346,0.50015646,3.39342,5.335886,-16.326893,26.512918,-0.07582661,0.0028594595,0.1924711,0.46019456,1.9623516,0.1305618,0.13106506,0.40723202,0.7962923,-27.252188,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0
Male,Student,20-29,24.719337,0.24910745,20.39075,24.915045,29.459553,9.068802,285.53595,413.8549,140.94994,289.08392,0.35833094,1.5957369,0.07225294,0.106717445,0.56809497,0.49584204,18.588337,26.184307,13.335382,23.63994,0.24315238,3.5321345,9.326153,1.415587,10.798875,1.1159106,17.734802,0.68585134,2.0430293,9.365323,0.036633022,1.9473759,1.4861045,0.77277267,1.4766514,3.7366283,6.7692347,3.2324646,15.862375,1.0727834,561.81775,0.47690392,1131.4955,0.22767039,-140.03204,-0.60794395,1608.2104,0.22598863,771.3078,0.4637954,-139.98308,-0.58808553,2678.483,0.11353904,616.4112,0.5417186,-140.35403,-0.58199364,-12.288997,-0.761615,19.399944,0.5806277,-0.016497547,-2.6983442,-0.020685373,-0.7188029,0.45790341,1.9333899,22.029436,0.5206234,5.7108607,2.872049,23.180777,0.74218535,-15.005582,-1.4492462,-12.614173,22.168032,-0.057307698,0.0015326424,0.13247061,0.4746177,1.9209416,0.16708091,0.16484223,0.36070645,0.82137954,-29.405106,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0
Male,Student,20-29,21.561853,0.30630022,14.99872,22.295073,26.739265,11.740545,293.29666,386.09753,213.4007,360.88083,0.6089879,1.6382807,0.087222576,0.19674806,0.95133746,0.8641149,31.016726,40.572884,22.491968,28.991356,0.80001754,2.2165034,14.9232025,1.1047428,13.640979,0.7652751,16.63012,0.6014917,6.7842917,2.068329,0.095392816,1.6090077,1.8783575,0.7622379,-0.89459753,-7.042131,7.406745,3.8255339,25.497173,0.8796092,594.3151,0.40156433,1263.0546,0.20634806,-133.31491,-0.63977283,1643.3618,0.19289777,1030.4863,0.38421896,-137.1065,-0.5755205,2717.1956,0.13122977,820.1742,0.5138564,-138.5842,-0.55525476,-21.451773,-0.40277424,29.802092,0.33528626,-0.038655117,-1.0354497,-0.024618456,-0.6958037,1.4666433,1.3719,30.581287,0.4348687,16.063784,0.7647082,20.34271,0.5962851,-0.17387994,-98.67213,-15.409795,25.229675,-0.066521324,0.00042102748,0.39778948,0.8687447,2.2985315,0.15461352,0.16148596,0.29626554,0.61483735,-21.830015,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Male,Student,20-29,23.931725,0.22973645,20.544262,24.204575,27.443281,6.8990192,306.13885,530.4225,148.329,326.3589,0.25975752,1.2319038,0.07287509,0.09155986,0.42614603,0.35327095,9.133971,10.552523,7.457044,7.570297,0.14826223,3.0114625,8.27998,1.5750073,11.625871,0.831598,16.738918,0.73565435,3.0008721,5.800922,0.03722766,1.8962775,1.4360254,0.8004774,1.9205457,2.7125227,7.5482626,2.6493833,18.657375,0.8138082,510.9786,0.44994673,1137.5549,0.22059944,-143.01659,-0.589226,1546.059,0.21645503,773.10895,0.45561343,-144.70253,-0.5542031,2629.5054,0.10634793,595.5968,0.5514911,-145.01497,-0.5479274,-14.038839,-0.6226247,21.188492,0.4872697,-0.021583674,-1.8234352,-0.023168521,-0.6948269,0.31809834,2.0718572,22.205427,0.51196015,10.704641,1.3401245,23.715563,0.722687,-12.903474,-1.615066,-10.709151,20.222292,-0.051866956,0.0027921817,0.06866359,0.8987019,1.6284295,0.18568994,0.17308302,0.436947,1.0396973,-34.682785,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0
Male,Student,20-29,21.196154,0.29351598,14.946774,22.238367,25.938774,10.992001,253.72073,333.33063,177.27376,323.1323,0.4553346,1.6252232,0.088288136,0.1532277,0.7166085,0.6283204,19.406782,27.98755,14.172273,21.933268,0.54910064,2.3480875,14.026951,1.1529016,13.8200035,0.7117824,16.520363,0.6246355,7.0830812,1.9342467,0.0807565,1.5708096,1.8045857,0.7873942,-0.72169924,-8.629825,7.7986865,3.5242121,27.194372,0.7723121,595.6737,0.40176722,1272.9072,0.20586371,-137.23492,-0.6144895,1655.4434,0.18925174,1040.1968,0.38416904,-141.25992,-0.54944783,2731.7148,0.13377285,812.88477,0.5168564,-142.49568,-0.5323527,-22.773014,-0.36940646,30.98096,0.31886813,-0.042154323,-0.9310136,-0.025285326,-0.70237726,1.0702575,1.4154477,30.483395,0.43420464,18.03929,0.6206644,21.852398,0.55435836,-0.01992359,-867.40674,-14.585525,24.553356,-0.064445,0.0014728254,0.26320517,0.52424276,2.0917137,0.1594695,0.16272615,0.33431986,0.6969826,-24.605837,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Male,Student,20-29,20.449417,0.25665656,15.125122,21.155529,24.526815,9.401693,233.14491,293.12738,156.31494,279.48038,0.42052427,1.7851374,0.071681954,0.09382643,0.69206965,0.6203877,16.498497,19.201502,16.33339,23.079206,0.41951153,2.8509896,14.412825,1.098362,11.421315,1.1250817,15.426281,0.72736,5.5897117,2.4778748,0.08239832,1.6973563,1.893947,0.7684704,-1.5577458,-3.4579446,5.097915,4.932656,24.878256,0.8900598,598.7122,0.43578038,1286.9427,0.22008981,-137.9299,-0.62091327,1651.4209,0.19385275,1026.9417,0.37572405,-141.09152,-0.5687017,2711.1492,0.120120406,917.5871,0.3977512,-142.75272,-0.5465014,-18.408863,-0.5794324,28.199184,0.49101758,-0.021608435,-2.1570082,-0.019249782,-0.6783919,0.84020805,1.502661,31.004538,0.39283606,9.535754,1.9458143,20.78271,0.7025128,-3.096532,-5.3857894,-11.809759,21.667875,-0.039823785,0.0010455968,0.20074846,0.55867475,1.923665,0.16822253,0.17664981,0.3762046,0.7577088,-25.898415,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Male,Student,20-29,21.266903,0.29104295,15.003283,22.042267,26.278326,11.2750435,296.82516,372.6915,191.76988,356.00027,0.5158182,1.6831367,0.08648053,0.15578324,0.82807183,0.74159133,24.747065,35.703182,16.771185,25.71724,0.6544009,2.3470848,14.52386,1.1251463,14.20663,0.71676064,16.4531,0.64110667,7.4822006,1.8792372,0.08452702,1.6422951,1.9051591,0.75502825,-0.74120104,-8.395472,7.0545554,4.021302,26.743093,0.798481,576.4467,0.41116965,1266.8636,0.1975385,-134.75754,-0.6306424,1635.5066,0.19254993,1023.53394,0.35369015,-139.19408,-0.56058353,2691.2073,0.12832531,822.02484,0.46045896,-140.61559,-0.54118484,-22.803713,-0.3657614,31.320805,0.31282958,-0.04193203,-1.0127544,-0.024917103,-0.7136275,1.2391133,1.4171866,30.616537,0.4305369,17.808155,0.62843126,21.668507,0.57360834,1.0153793,17.796732,-14.717007,24.632488,-0.06384807,0.0013740773,0.3151307,0.6253822,2.1571736,0.16052835,0.16590461,0.31449568,0.5904865,-23.015635,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
