id,好き嫌い,心地よい不快,感じの良い悪い,なめらかしどろもどろ,流暢たどたどしい,話慣れた慣れていない,声大きい小さい,元気のあるない,力強い弱々しい,速い遅い,せわしげな呑気な,スピード感あるゆったりした,礼儀正しい無礼,真面目不真面目,丁寧ぞんざい
2012$MAKMIIF.WAV$RM,1,1,0,1,1,1,1,0,1,0,0,0,0,1,1
2012$MAKMIIF.WAV$LM,1,1,0,0,0,1,1,0,1,0,0,0,0,0,1
2012$MAKMIIN.WAV$RM,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0
2012$MAKMIIN.WAV$LM,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0
2012$MAKMNJF.WAV$RM,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0
2012$MAKMNJF.WAV$LM,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2012$MAKMNJN.WAV$RM,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0
2012$MAKMNJN.WAV$LM,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2012$MAKMNYF.WAV$RM,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
2012$MAKMNYF.WAV$LM,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
2012$MAKMNYN.WAV$RM,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
2012$MAKMNYN.WAV$LM,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2012$MNJMIIF.WAV$RM,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0
2012$MNJMIIF.WAV$LM,0,0,1,0,1,1,0,0,0,0,0,0,1,1,1
2012$MNJMIIN.WAV$RM,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
2012$MNJMIIN.WAV$LM,0,0,1,0,1,1,0,0,0,0,0,0,1,1,1
2012$MNYMIIF.WAV$RM,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2012$MNYMIIF.WAV$LM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012$MNYMIIN.WAV$RM,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
2012$MNYMIIN.WAV$LM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012$MNYMNJF.WAV$RM,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2012$MNYMNJF.WAV$LM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012$MNYMNJN.WAV$RM,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2012$MNYMNJN.WAV$LM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013$MISMIKN-MIK.WAV$RM,0,0,1,0,0,1,1,1,1,1,1,1,0,0,0
2013$MISMIKN-MIS.WAV$LM,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0
2013$MISMWTN-MWT.WAV$RM,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
2013$MISMWTN-MIS.WAV$LM,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0
2013$MMTFHYN-FHY.WAV$RF,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0
2013$MMTFHYN-MMT.WAV$LM,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0
2013$MHUFHYN-FHY.WAV$RF,0,0,1,0,0,1,1,1,1,1,1,1,0,0,0
2013$MHUFHYN-MHU.WAV$LM,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
2013$MMTFMMN-FMM.WAV$RF,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1
2013$MMTFMMN-MMT.WAV$LM,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
