id,好き嫌い,心地よい不快,感じの良い悪い,なめらかしどろもどろ,流暢たどたどしい,話慣れた慣れていない,声大きい小さい,元気のあるない,力強い弱々しい,速い遅い,せわしげな呑気な,スピード感あるゆったりした,礼儀正しい無礼,真面目不真面目,丁寧ぞんざい
2017$WAV_1089_002$LM,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1
2017$WAV_1089_002$RM,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1
2017$WAV_1090_002$LM,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1
2017$WAV_1090_002$RM,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1
2017$WAV_1091_002$LM,0,0,1,1,1,1,0,0,0,0,0,0,1,0,1
2017$WAV_1091_002$RM,0,0,0,1,0,0,0,1,0,1,1,1,0,0,1
2017$WAV_1092_002$LM,1,1,1,0,1,1,0,0,0,0,0,0,1,1,1
2017$WAV_1092_002$RM,1,0,1,1,1,0,1,1,1,0,0,0,0,1,1
2017$WAV_1093_002$LM,0,0,0,1,0,1,1,0,0,1,0,0,1,1,1
2017$WAV_1093_002$RM,0,0,0,1,0,0,1,1,0,1,1,1,1,0,0
2017$WAV_1094_002$LM,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0
2017$WAV_1094_002$RM,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0
2017$WAV_1095_002$LM,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0
2017$WAV_1095_002$RF,0,0,1,1,0,1,1,1,1,1,1,1,0,0,0
2017$WAV_1096_002$LM,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1
2017$WAV_1096_002$RM,1,1,1,0,1,1,1,0,1,1,0,1,0,1,0
2017$WAV_1097_002$LF,1,1,0,1,0,1,1,1,1,1,1,1,0,0,0
2017$WAV_1097_002$RM,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1
2017$WAV_1098_002$LM,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0
2017$WAV_1098_002$RM,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0
2017$WAV_1099_002$LM,1,0,1,1,0,1,1,1,1,1,1,1,0,0,0
2017$WAV_1099_002$RM,0,0,1,1,1,1,1,0,1,1,0,0,0,1,0
2017$WAV_1100_002$LF,1,0,1,1,0,1,1,1,1,1,1,1,0,0,0
2017$WAV_1100_002$RM,0,1,1,1,1,1,1,0,1,0,0,0,1,1,1
2018$FKMMOKN$LM,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1
2018$FKMMOKN$RF,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0
2018$FKRFHAN$LF,0,1,1,1,1,1,1,0,1,0,0,0,1,1,1
2018$FKRFHAN$LF,1,1,1,1,1,1,0,0,0,1,0,0,1,1,1
2018$FMAFHAN$LF,0,1,1,1,0,1,1,1,1,0,1,0,0,1,1
2018$FMAFHAN$RF,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1
2018$FMRFMAN$LF,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1
2018$FMRFMAN$LF,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0
2018$MSKFHAN$LF,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1
2018$MSKFHAN$RM,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2018$MUTMTKN$LM,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1
2018$MUTMTKN$RM,0,0,0,1,1,1,1,0,0,1,0,0,0,0,1
2018$MWKMTKN$LM,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1
